,Month,Dest,ArrDelay,DepDelay,iata,airport,city,state,country,lat,long
0,1,ABE,5876.0,6845.0,ABE,Lehigh Valley International,Allentown,PA,USA,40.65236278,-75.44040167
1,2,ABE,6697.0,7073.0,ABE,Lehigh Valley International,Allentown,PA,USA,40.65236278,-75.44040167
2,3,ABE,5521.0,6820.0,ABE,Lehigh Valley International,Allentown,PA,USA,40.65236278,-75.44040167
3,4,ABE,1746.0,3366.0,ABE,Lehigh Valley International,Allentown,PA,USA,40.65236278,-75.44040167
4,5,ABE,546.0,2426.0,ABE,Lehigh Valley International,Allentown,PA,USA,40.65236278,-75.44040167
5,6,ABE,7987.0,8265.0,ABE,Lehigh Valley International,Allentown,PA,USA,40.65236278,-75.44040167
6,7,ABE,6032.0,6644.0,ABE,Lehigh Valley International,Allentown,PA,USA,40.65236278,-75.44040167
7,8,ABE,1501.0,2632.0,ABE,Lehigh Valley International,Allentown,PA,USA,40.65236278,-75.44040167
8,9,ABE,1258.0,2221.0,ABE,Lehigh Valley International,Allentown,PA,USA,40.65236278,-75.44040167
9,10,ABE,-1127.0,870.0,ABE,Lehigh Valley International,Allentown,PA,USA,40.65236278,-75.44040167
10,11,ABE,845.0,858.0,ABE,Lehigh Valley International,Allentown,PA,USA,40.65236278,-75.44040167
11,12,ABE,5796.0,5945.0,ABE,Lehigh Valley International,Allentown,PA,USA,40.65236278,-75.44040167
12,1,ABI,2204.0,2926.0,ABI,Abilene Regional,Abilene,TX,USA,32.41132,-99.68189722
13,2,ABI,1876.0,2468.0,ABI,Abilene Regional,Abilene,TX,USA,32.41132,-99.68189722
14,3,ABI,3766.0,3817.0,ABI,Abilene Regional,Abilene,TX,USA,32.41132,-99.68189722
15,4,ABI,2324.0,2214.0,ABI,Abilene Regional,Abilene,TX,USA,32.41132,-99.68189722
16,5,ABI,2147.0,2520.0,ABI,Abilene Regional,Abilene,TX,USA,32.41132,-99.68189722
17,6,ABI,3555.0,3665.0,ABI,Abilene Regional,Abilene,TX,USA,32.41132,-99.68189722
18,7,ABI,1939.0,2225.0,ABI,Abilene Regional,Abilene,TX,USA,32.41132,-99.68189722
19,8,ABI,2483.0,2333.0,ABI,Abilene Regional,Abilene,TX,USA,32.41132,-99.68189722
20,9,ABI,216.0,735.0,ABI,Abilene Regional,Abilene,TX,USA,32.41132,-99.68189722
21,10,ABI,213.0,627.0,ABI,Abilene Regional,Abilene,TX,USA,32.41132,-99.68189722
22,11,ABI,537.0,677.0,ABI,Abilene Regional,Abilene,TX,USA,32.41132,-99.68189722
23,12,ABI,2541.0,2136.0,ABI,Abilene Regional,Abilene,TX,USA,32.41132,-99.68189722
24,1,ABQ,22234.0,32475.0,ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
25,2,ABQ,26709.0,36291.0,ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
26,3,ABQ,26801.0,39362.0,ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
27,4,ABQ,12999.0,21940.0,ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
28,5,ABQ,27534.0,31861.0,ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
29,6,ABQ,42068.0,47775.0,ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
