,Month,Origin,ArrDelay,DepDelay,iata,airport,city,state,country,lat,long
0,1,ABE,4893.0,5234.0,ABE,Lehigh Valley International,Allentown,PA,USA,40.65236278,-75.44040167
1,2,ABE,5029.0,3748.0,ABE,Lehigh Valley International,Allentown,PA,USA,40.65236278,-75.44040167
2,3,ABE,3926.0,3873.0,ABE,Lehigh Valley International,Allentown,PA,USA,40.65236278,-75.44040167
3,4,ABE,-67.0,-70.0,ABE,Lehigh Valley International,Allentown,PA,USA,40.65236278,-75.44040167
4,5,ABE,1387.0,1232.0,ABE,Lehigh Valley International,Allentown,PA,USA,40.65236278,-75.44040167
5,6,ABE,7414.0,7538.0,ABE,Lehigh Valley International,Allentown,PA,USA,40.65236278,-75.44040167
6,7,ABE,3849.0,3820.0,ABE,Lehigh Valley International,Allentown,PA,USA,40.65236278,-75.44040167
7,8,ABE,967.0,1882.0,ABE,Lehigh Valley International,Allentown,PA,USA,40.65236278,-75.44040167
8,9,ABE,1823.0,2613.0,ABE,Lehigh Valley International,Allentown,PA,USA,40.65236278,-75.44040167
9,10,ABE,51.0,347.0,ABE,Lehigh Valley International,Allentown,PA,USA,40.65236278,-75.44040167
10,11,ABE,-104.0,1246.0,ABE,Lehigh Valley International,Allentown,PA,USA,40.65236278,-75.44040167
11,12,ABE,6766.0,5223.0,ABE,Lehigh Valley International,Allentown,PA,USA,40.65236278,-75.44040167
12,1,ABI,3453.0,3383.0,ABI,Abilene Regional,Abilene,TX,USA,32.41132,-99.68189722
13,2,ABI,2384.0,2734.0,ABI,Abilene Regional,Abilene,TX,USA,32.41132,-99.68189722
14,3,ABI,3068.0,3040.0,ABI,Abilene Regional,Abilene,TX,USA,32.41132,-99.68189722
15,4,ABI,-18.0,563.0,ABI,Abilene Regional,Abilene,TX,USA,32.41132,-99.68189722
16,5,ABI,599.0,1079.0,ABI,Abilene Regional,Abilene,TX,USA,32.41132,-99.68189722
17,6,ABI,974.0,1181.0,ABI,Abilene Regional,Abilene,TX,USA,32.41132,-99.68189722
18,7,ABI,475.0,904.0,ABI,Abilene Regional,Abilene,TX,USA,32.41132,-99.68189722
19,8,ABI,1433.0,1696.0,ABI,Abilene Regional,Abilene,TX,USA,32.41132,-99.68189722
20,9,ABI,1331.0,1382.0,ABI,Abilene Regional,Abilene,TX,USA,32.41132,-99.68189722
21,10,ABI,431.0,611.0,ABI,Abilene Regional,Abilene,TX,USA,32.41132,-99.68189722
22,11,ABI,-1298.0,-73.0,ABI,Abilene Regional,Abilene,TX,USA,32.41132,-99.68189722
23,12,ABI,336.0,1506.0,ABI,Abilene Regional,Abilene,TX,USA,32.41132,-99.68189722
24,1,ABQ,16030.0,25870.0,ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
25,2,ABQ,19909.0,28999.0,ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
26,3,ABQ,26824.0,32664.0,ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
27,4,ABQ,11554.0,17360.0,ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
28,5,ABQ,17943.0,28397.0,ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
29,6,ABQ,35028.0,43004.0,ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
30,7,ABQ,13446.0,25386.0,ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
31,8,ABQ,14467.0,28335.0,ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
32,9,ABQ,-9616.0,4910.0,ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
33,10,ABQ,-5304.0,7943.0,ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
34,11,ABQ,-3508.0,9338.0,ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
35,12,ABQ,44969.0,51499.0,ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
36,1,ABY,1441.0,1597.0,ABY,Southwest Georgia Regional,Albany,GA,USA,31.535515,-84.19447333
37,2,ABY,1452.0,1497.0,ABY,Southwest Georgia Regional,Albany,GA,USA,31.535515,-84.19447333
38,3,ABY,936.0,1246.0,ABY,Southwest Georgia Regional,Albany,GA,USA,31.535515,-84.19447333
39,4,ABY,739.0,568.0,ABY,Southwest Georgia Regional,Albany,GA,USA,31.535515,-84.19447333
40,5,ABY,517.0,316.0,ABY,Southwest Georgia Regional,Albany,GA,USA,31.535515,-84.19447333
41,6,ABY,877.0,593.0,ABY,Southwest Georgia Regional,Albany,GA,USA,31.535515,-84.19447333
42,7,ABY,3061.0,2857.0,ABY,Southwest Georgia Regional,Albany,GA,USA,31.535515,-84.19447333
43,8,ABY,1370.0,1255.0,ABY,Southwest Georgia Regional,Albany,GA,USA,31.535515,-84.19447333
44,9,ABY,-4.0,73.0,ABY,Southwest Georgia Regional,Albany,GA,USA,31.535515,-84.19447333
45,10,ABY,653.0,509.0,ABY,Southwest Georgia Regional,Albany,GA,USA,31.535515,-84.19447333
46,11,ABY,861.0,584.0,ABY,Southwest Georgia Regional,Albany,GA,USA,31.535515,-84.19447333
47,12,ABY,838.0,723.0,ABY,Southwest Georgia Regional,Albany,GA,USA,31.535515,-84.19447333
48,1,ACT,1621.0,1811.0,ACT,Waco Regional,Waco,TX,USA,31.61128833,-97.23051917
49,2,ACT,903.0,1262.0,ACT,Waco Regional,Waco,TX,USA,31.61128833,-97.23051917
50,3,ACT,1184.0,1448.0,ACT,Waco Regional,Waco,TX,USA,31.61128833,-97.23051917
51,4,ACT,536.0,364.0,ACT,Waco Regional,Waco,TX,USA,31.61128833,-97.23051917
52,5,ACT,343.0,461.0,ACT,Waco Regional,Waco,TX,USA,31.61128833,-97.23051917
53,6,ACT,-253.0,614.0,ACT,Waco Regional,Waco,TX,USA,31.61128833,-97.23051917
54,7,ACT,-270.0,350.0,ACT,Waco Regional,Waco,TX,USA,31.61128833,-97.23051917
55,8,ACT,270.0,713.0,ACT,Waco Regional,Waco,TX,USA,31.61128833,-97.23051917
56,9,ACT,-482.0,76.0,ACT,Waco Regional,Waco,TX,USA,31.61128833,-97.23051917
57,10,ACT,83.0,408.0,ACT,Waco Regional,Waco,TX,USA,31.61128833,-97.23051917
58,11,ACT,1065.0,1485.0,ACT,Waco Regional,Waco,TX,USA,31.61128833,-97.23051917
59,12,ACT,921.0,1001.0,ACT,Waco Regional,Waco,TX,USA,31.61128833,-97.23051917
60,1,ACV,10986.0,10745.0,ACV,Arcata,Arcata/Eureka,CA,USA,40.97811528,-124.1086189
61,2,ACV,6300.0,6313.0,ACV,Arcata,Arcata/Eureka,CA,USA,40.97811528,-124.1086189
62,3,ACV,81.0,938.0,ACV,Arcata,Arcata/Eureka,CA,USA,40.97811528,-124.1086189
63,4,ACV,36.0,1001.0,ACV,Arcata,Arcata/Eureka,CA,USA,40.97811528,-124.1086189
64,5,ACV,2740.0,3540.0,ACV,Arcata,Arcata/Eureka,CA,USA,40.97811528,-124.1086189
65,6,ACV,5794.0,6057.0,ACV,Arcata,Arcata/Eureka,CA,USA,40.97811528,-124.1086189
66,7,ACV,6069.0,5478.0,ACV,Arcata,Arcata/Eureka,CA,USA,40.97811528,-124.1086189
67,8,ACV,4905.0,4758.0,ACV,Arcata,Arcata/Eureka,CA,USA,40.97811528,-124.1086189
68,9,ACV,4507.0,3982.0,ACV,Arcata,Arcata/Eureka,CA,USA,40.97811528,-124.1086189
69,10,ACV,3160.0,3000.0,ACV,Arcata,Arcata/Eureka,CA,USA,40.97811528,-124.1086189
70,11,ACV,3118.0,3345.0,ACV,Arcata,Arcata/Eureka,CA,USA,40.97811528,-124.1086189
71,12,ACV,5347.0,5322.0,ACV,Arcata,Arcata/Eureka,CA,USA,40.97811528,-124.1086189
72,1,ACY,177.0,701.0,ACY,Atlantic City International,Atlantic City,NJ,USA,39.45758333,-74.57716667
73,2,ACY,-242.0,55.0,ACY,Atlantic City International,Atlantic City,NJ,USA,39.45758333,-74.57716667
74,3,ACY,280.0,672.0,ACY,Atlantic City International,Atlantic City,NJ,USA,39.45758333,-74.57716667
75,4,ACY,391.0,668.0,ACY,Atlantic City International,Atlantic City,NJ,USA,39.45758333,-74.57716667
76,1,ADK,-38.0,187.0,ADK,Adak,Adak,AK,USA,51.87796389,-176.6460306
77,2,ADK,-52.0,47.0,ADK,Adak,Adak,AK,USA,51.87796389,-176.6460306
78,3,ADK,-9.0,99.0,ADK,Adak,Adak,AK,USA,51.87796389,-176.6460306
79,4,ADK,-139.0,33.0,ADK,Adak,Adak,AK,USA,51.87796389,-176.6460306
80,5,ADK,135.0,260.0,ADK,Adak,Adak,AK,USA,51.87796389,-176.6460306
81,6,ADK,-28.0,42.0,ADK,Adak,Adak,AK,USA,51.87796389,-176.6460306
82,7,ADK,-40.0,-26.0,ADK,Adak,Adak,AK,USA,51.87796389,-176.6460306
83,8,ADK,249.0,260.0,ADK,Adak,Adak,AK,USA,51.87796389,-176.6460306
84,9,ADK,243.0,235.0,ADK,Adak,Adak,AK,USA,51.87796389,-176.6460306
85,10,ADK,111.0,108.0,ADK,Adak,Adak,AK,USA,51.87796389,-176.6460306
86,11,ADK,-33.0,-12.0,ADK,Adak,Adak,AK,USA,51.87796389,-176.6460306
87,12,ADK,18.0,23.0,ADK,Adak,Adak,AK,USA,51.87796389,-176.6460306
88,1,ADQ,548.0,611.0,ADQ,Kodiak ,Kodiak,AK,USA,57.74996778,-152.4938553
89,2,ADQ,131.0,238.0,ADQ,Kodiak ,Kodiak,AK,USA,57.74996778,-152.4938553
90,3,ADQ,-223.0,-25.0,ADQ,Kodiak ,Kodiak,AK,USA,57.74996778,-152.4938553
91,4,ADQ,-492.0,-263.0,ADQ,Kodiak ,Kodiak,AK,USA,57.74996778,-152.4938553
92,5,ADQ,181.0,281.0,ADQ,Kodiak ,Kodiak,AK,USA,57.74996778,-152.4938553
93,6,ADQ,11.0,142.0,ADQ,Kodiak ,Kodiak,AK,USA,57.74996778,-152.4938553
94,7,ADQ,-18.0,221.0,ADQ,Kodiak ,Kodiak,AK,USA,57.74996778,-152.4938553
95,8,ADQ,562.0,702.0,ADQ,Kodiak ,Kodiak,AK,USA,57.74996778,-152.4938553
96,9,ADQ,477.0,537.0,ADQ,Kodiak ,Kodiak,AK,USA,57.74996778,-152.4938553
97,10,ADQ,434.0,486.0,ADQ,Kodiak ,Kodiak,AK,USA,57.74996778,-152.4938553
98,11,ADQ,212.0,257.0,ADQ,Kodiak ,Kodiak,AK,USA,57.74996778,-152.4938553
99,12,ADQ,625.0,618.0,ADQ,Kodiak ,Kodiak,AK,USA,57.74996778,-152.4938553
100,1,AEX,3137.0,2830.0,AEX,Alexandria International,Alexandria,LA,USA,31.32737167,-92.54855611
101,2,AEX,3021.0,2620.0,AEX,Alexandria International,Alexandria,LA,USA,31.32737167,-92.54855611
102,3,AEX,2250.0,1604.0,AEX,Alexandria International,Alexandria,LA,USA,31.32737167,-92.54855611
103,4,AEX,1847.0,1410.0,AEX,Alexandria International,Alexandria,LA,USA,31.32737167,-92.54855611
104,5,AEX,1975.0,1811.0,AEX,Alexandria International,Alexandria,LA,USA,31.32737167,-92.54855611
105,6,AEX,2311.0,2120.0,AEX,Alexandria International,Alexandria,LA,USA,31.32737167,-92.54855611
106,7,AEX,2125.0,1563.0,AEX,Alexandria International,Alexandria,LA,USA,31.32737167,-92.54855611
107,8,AEX,1458.0,958.0,AEX,Alexandria International,Alexandria,LA,USA,31.32737167,-92.54855611
108,9,AEX,95.0,790.0,AEX,Alexandria International,Alexandria,LA,USA,31.32737167,-92.54855611
109,10,AEX,537.0,294.0,AEX,Alexandria International,Alexandria,LA,USA,31.32737167,-92.54855611
110,11,AEX,1899.0,1000.0,AEX,Alexandria International,Alexandria,LA,USA,31.32737167,-92.54855611
111,12,AEX,3363.0,2750.0,AEX,Alexandria International,Alexandria,LA,USA,31.32737167,-92.54855611
112,1,AGS,1096.0,1838.0,AGS,Bush ,Augusta,GA,USA,33.369955,-81.96449611
113,2,AGS,2200.0,2012.0,AGS,Bush ,Augusta,GA,USA,33.369955,-81.96449611
114,3,AGS,2658.0,2926.0,AGS,Bush ,Augusta,GA,USA,33.369955,-81.96449611
115,4,AGS,2912.0,2758.0,AGS,Bush ,Augusta,GA,USA,33.369955,-81.96449611
116,5,AGS,427.0,506.0,AGS,Bush ,Augusta,GA,USA,33.369955,-81.96449611
117,6,AGS,1466.0,1897.0,AGS,Bush ,Augusta,GA,USA,33.369955,-81.96449611
118,7,AGS,5107.0,4608.0,AGS,Bush ,Augusta,GA,USA,33.369955,-81.96449611
119,8,AGS,2362.0,2406.0,AGS,Bush ,Augusta,GA,USA,33.369955,-81.96449611
120,9,AGS,1679.0,1800.0,AGS,Bush ,Augusta,GA,USA,33.369955,-81.96449611
