,Month,Origin,DepDelay,ArrDelay,iata,airport,city,state,country,lat,long
0,1,ABE,5234.0,5876.0,ABE,Lehigh Valley International,Allentown,PA,USA,40.65236278,-75.44040167
1,2,ABE,3748.0,6697.0,ABE,Lehigh Valley International,Allentown,PA,USA,40.65236278,-75.44040167
2,3,ABE,3873.0,5521.0,ABE,Lehigh Valley International,Allentown,PA,USA,40.65236278,-75.44040167
3,4,ABE,-70.0,1746.0,ABE,Lehigh Valley International,Allentown,PA,USA,40.65236278,-75.44040167
4,5,ABE,1232.0,546.0,ABE,Lehigh Valley International,Allentown,PA,USA,40.65236278,-75.44040167
5,6,ABE,7538.0,7987.0,ABE,Lehigh Valley International,Allentown,PA,USA,40.65236278,-75.44040167
6,7,ABE,3820.0,6032.0,ABE,Lehigh Valley International,Allentown,PA,USA,40.65236278,-75.44040167
7,8,ABE,1882.0,1501.0,ABE,Lehigh Valley International,Allentown,PA,USA,40.65236278,-75.44040167
8,9,ABE,2613.0,1258.0,ABE,Lehigh Valley International,Allentown,PA,USA,40.65236278,-75.44040167
9,10,ABE,347.0,-1127.0,ABE,Lehigh Valley International,Allentown,PA,USA,40.65236278,-75.44040167
10,11,ABE,1246.0,845.0,ABE,Lehigh Valley International,Allentown,PA,USA,40.65236278,-75.44040167
11,12,ABE,5223.0,5796.0,ABE,Lehigh Valley International,Allentown,PA,USA,40.65236278,-75.44040167
12,1,ABI,3383.0,2204.0,ABI,Abilene Regional,Abilene,TX,USA,32.41132,-99.68189722
13,2,ABI,2734.0,1876.0,ABI,Abilene Regional,Abilene,TX,USA,32.41132,-99.68189722
14,3,ABI,3040.0,3766.0,ABI,Abilene Regional,Abilene,TX,USA,32.41132,-99.68189722
15,4,ABI,563.0,2324.0,ABI,Abilene Regional,Abilene,TX,USA,32.41132,-99.68189722
16,5,ABI,1079.0,2147.0,ABI,Abilene Regional,Abilene,TX,USA,32.41132,-99.68189722
17,6,ABI,1181.0,3555.0,ABI,Abilene Regional,Abilene,TX,USA,32.41132,-99.68189722
18,7,ABI,904.0,1939.0,ABI,Abilene Regional,Abilene,TX,USA,32.41132,-99.68189722
19,8,ABI,1696.0,2483.0,ABI,Abilene Regional,Abilene,TX,USA,32.41132,-99.68189722
20,9,ABI,1382.0,216.0,ABI,Abilene Regional,Abilene,TX,USA,32.41132,-99.68189722
21,10,ABI,611.0,213.0,ABI,Abilene Regional,Abilene,TX,USA,32.41132,-99.68189722
22,11,ABI,-73.0,537.0,ABI,Abilene Regional,Abilene,TX,USA,32.41132,-99.68189722
23,12,ABI,1506.0,2541.0,ABI,Abilene Regional,Abilene,TX,USA,32.41132,-99.68189722
24,1,ABQ,25870.0,22234.0,ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
25,2,ABQ,28999.0,26709.0,ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
26,3,ABQ,32664.0,26801.0,ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
27,4,ABQ,17360.0,12999.0,ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
28,5,ABQ,28397.0,27534.0,ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
29,6,ABQ,43004.0,42068.0,ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
30,7,ABQ,25386.0,22937.0,ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
31,8,ABQ,28335.0,22707.0,ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
32,9,ABQ,4910.0,-3973.0,ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
33,10,ABQ,7943.0,-4003.0,ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
34,11,ABQ,9338.0,-1627.0,ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
35,12,ABQ,51499.0,52517.0,ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
36,1,ABY,1597.0,1304.0,ABY,Southwest Georgia Regional,Albany,GA,USA,31.535515,-84.19447333
37,2,ABY,1497.0,1156.0,ABY,Southwest Georgia Regional,Albany,GA,USA,31.535515,-84.19447333
38,3,ABY,1246.0,1575.0,ABY,Southwest Georgia Regional,Albany,GA,USA,31.535515,-84.19447333
39,4,ABY,568.0,965.0,ABY,Southwest Georgia Regional,Albany,GA,USA,31.535515,-84.19447333
40,5,ABY,316.0,335.0,ABY,Southwest Georgia Regional,Albany,GA,USA,31.535515,-84.19447333
41,6,ABY,593.0,552.0,ABY,Southwest Georgia Regional,Albany,GA,USA,31.535515,-84.19447333
42,7,ABY,2857.0,1981.0,ABY,Southwest Georgia Regional,Albany,GA,USA,31.535515,-84.19447333
43,8,ABY,1255.0,1656.0,ABY,Southwest Georgia Regional,Albany,GA,USA,31.535515,-84.19447333
44,9,ABY,73.0,-61.0,ABY,Southwest Georgia Regional,Albany,GA,USA,31.535515,-84.19447333
45,10,ABY,509.0,474.0,ABY,Southwest Georgia Regional,Albany,GA,USA,31.535515,-84.19447333
46,11,ABY,584.0,742.0,ABY,Southwest Georgia Regional,Albany,GA,USA,31.535515,-84.19447333
47,12,ABY,723.0,1357.0,ABY,Southwest Georgia Regional,Albany,GA,USA,31.535515,-84.19447333
48,1,ACT,1811.0,2279.0,ACT,Waco Regional,Waco,TX,USA,31.61128833,-97.23051917
49,2,ACT,1262.0,1287.0,ACT,Waco Regional,Waco,TX,USA,31.61128833,-97.23051917
50,3,ACT,1448.0,2076.0,ACT,Waco Regional,Waco,TX,USA,31.61128833,-97.23051917
51,4,ACT,364.0,1258.0,ACT,Waco Regional,Waco,TX,USA,31.61128833,-97.23051917
52,5,ACT,461.0,651.0,ACT,Waco Regional,Waco,TX,USA,31.61128833,-97.23051917
53,6,ACT,614.0,860.0,ACT,Waco Regional,Waco,TX,USA,31.61128833,-97.23051917
54,7,ACT,350.0,460.0,ACT,Waco Regional,Waco,TX,USA,31.61128833,-97.23051917
55,8,ACT,713.0,807.0,ACT,Waco Regional,Waco,TX,USA,31.61128833,-97.23051917
56,9,ACT,76.0,-150.0,ACT,Waco Regional,Waco,TX,USA,31.61128833,-97.23051917
57,10,ACT,408.0,-265.0,ACT,Waco Regional,Waco,TX,USA,31.61128833,-97.23051917
58,11,ACT,1485.0,85.0,ACT,Waco Regional,Waco,TX,USA,31.61128833,-97.23051917
59,12,ACT,1001.0,1115.0,ACT,Waco Regional,Waco,TX,USA,31.61128833,-97.23051917
60,1,ACV,10745.0,9005.0,ACV,Arcata,Arcata/Eureka,CA,USA,40.97811528,-124.1086189
61,2,ACV,6313.0,5411.0,ACV,Arcata,Arcata/Eureka,CA,USA,40.97811528,-124.1086189
62,3,ACV,938.0,1312.0,ACV,Arcata,Arcata/Eureka,CA,USA,40.97811528,-124.1086189
63,4,ACV,1001.0,321.0,ACV,Arcata,Arcata/Eureka,CA,USA,40.97811528,-124.1086189
64,5,ACV,3540.0,3040.0,ACV,Arcata,Arcata/Eureka,CA,USA,40.97811528,-124.1086189
65,6,ACV,6057.0,5184.0,ACV,Arcata,Arcata/Eureka,CA,USA,40.97811528,-124.1086189
66,7,ACV,5478.0,3419.0,ACV,Arcata,Arcata/Eureka,CA,USA,40.97811528,-124.1086189
67,8,ACV,4758.0,2701.0,ACV,Arcata,Arcata/Eureka,CA,USA,40.97811528,-124.1086189
68,9,ACV,3982.0,2372.0,ACV,Arcata,Arcata/Eureka,CA,USA,40.97811528,-124.1086189
69,10,ACV,3000.0,2066.0,ACV,Arcata,Arcata/Eureka,CA,USA,40.97811528,-124.1086189
70,11,ACV,3345.0,2507.0,ACV,Arcata,Arcata/Eureka,CA,USA,40.97811528,-124.1086189
71,12,ACV,5322.0,6476.0,ACV,Arcata,Arcata/Eureka,CA,USA,40.97811528,-124.1086189
72,1,ACY,701.0,170.0,ACY,Atlantic City International,Atlantic City,NJ,USA,39.45758333,-74.57716667
73,2,ACY,55.0,52.0,ACY,Atlantic City International,Atlantic City,NJ,USA,39.45758333,-74.57716667
74,3,ACY,672.0,507.0,ACY,Atlantic City International,Atlantic City,NJ,USA,39.45758333,-74.57716667
75,4,ACY,668.0,790.0,ACY,Atlantic City International,Atlantic City,NJ,USA,39.45758333,-74.57716667
76,1,ADK,187.0,204.0,ADK,Adak,Adak,AK,USA,51.87796389,-176.6460306
77,2,ADK,47.0,53.0,ADK,Adak,Adak,AK,USA,51.87796389,-176.6460306
78,3,ADK,99.0,87.0,ADK,Adak,Adak,AK,USA,51.87796389,-176.6460306
79,4,ADK,33.0,93.0,ADK,Adak,Adak,AK,USA,51.87796389,-176.6460306
80,5,ADK,260.0,196.0,ADK,Adak,Adak,AK,USA,51.87796389,-176.6460306
81,6,ADK,42.0,36.0,ADK,Adak,Adak,AK,USA,51.87796389,-176.6460306
82,7,ADK,-26.0,-1.0,ADK,Adak,Adak,AK,USA,51.87796389,-176.6460306
83,8,ADK,260.0,63.0,ADK,Adak,Adak,AK,USA,51.87796389,-176.6460306
84,9,ADK,235.0,70.0,ADK,Adak,Adak,AK,USA,51.87796389,-176.6460306
85,10,ADK,108.0,56.0,ADK,Adak,Adak,AK,USA,51.87796389,-176.6460306
86,11,ADK,-12.0,-83.0,ADK,Adak,Adak,AK,USA,51.87796389,-176.6460306
87,12,ADK,23.0,0.0,ADK,Adak,Adak,AK,USA,51.87796389,-176.6460306
88,1,ADQ,611.0,529.0,ADQ,Kodiak ,Kodiak,AK,USA,57.74996778,-152.4938553
89,2,ADQ,238.0,26.0,ADQ,Kodiak ,Kodiak,AK,USA,57.74996778,-152.4938553
90,3,ADQ,-25.0,42.0,ADQ,Kodiak ,Kodiak,AK,USA,57.74996778,-152.4938553
91,4,ADQ,-263.0,-330.0,ADQ,Kodiak ,Kodiak,AK,USA,57.74996778,-152.4938553
92,5,ADQ,281.0,-285.0,ADQ,Kodiak ,Kodiak,AK,USA,57.74996778,-152.4938553
93,6,ADQ,142.0,-56.0,ADQ,Kodiak ,Kodiak,AK,USA,57.74996778,-152.4938553
94,7,ADQ,221.0,11.0,ADQ,Kodiak ,Kodiak,AK,USA,57.74996778,-152.4938553
95,8,ADQ,702.0,18.0,ADQ,Kodiak ,Kodiak,AK,USA,57.74996778,-152.4938553
96,9,ADQ,537.0,-227.0,ADQ,Kodiak ,Kodiak,AK,USA,57.74996778,-152.4938553
97,10,ADQ,486.0,255.0,ADQ,Kodiak ,Kodiak,AK,USA,57.74996778,-152.4938553
98,11,ADQ,257.0,-96.0,ADQ,Kodiak ,Kodiak,AK,USA,57.74996778,-152.4938553
99,12,ADQ,618.0,1020.0,ADQ,Kodiak ,Kodiak,AK,USA,57.74996778,-152.4938553
100,1,AEX,2830.0,2578.0,AEX,Alexandria International,Alexandria,LA,USA,31.32737167,-92.54855611
101,2,AEX,2620.0,2737.0,AEX,Alexandria International,Alexandria,LA,USA,31.32737167,-92.54855611
102,3,AEX,1604.0,3175.0,AEX,Alexandria International,Alexandria,LA,USA,31.32737167,-92.54855611
103,4,AEX,1410.0,1347.0,AEX,Alexandria International,Alexandria,LA,USA,31.32737167,-92.54855611
104,5,AEX,1811.0,1456.0,AEX,Alexandria International,Alexandria,LA,USA,31.32737167,-92.54855611
105,6,AEX,2120.0,2486.0,AEX,Alexandria International,Alexandria,LA,USA,31.32737167,-92.54855611
106,7,AEX,1563.0,1335.0,AEX,Alexandria International,Alexandria,LA,USA,31.32737167,-92.54855611
107,8,AEX,958.0,1202.0,AEX,Alexandria International,Alexandria,LA,USA,31.32737167,-92.54855611
108,9,AEX,790.0,-16.0,AEX,Alexandria International,Alexandria,LA,USA,31.32737167,-92.54855611
109,10,AEX,294.0,-199.0,AEX,Alexandria International,Alexandria,LA,USA,31.32737167,-92.54855611
110,11,AEX,1000.0,1248.0,AEX,Alexandria International,Alexandria,LA,USA,31.32737167,-92.54855611
111,12,AEX,2750.0,2856.0,AEX,Alexandria International,Alexandria,LA,USA,31.32737167,-92.54855611
112,1,AGS,1838.0,2092.0,AGS,Bush ,Augusta,GA,USA,33.369955,-81.96449611
113,2,AGS,2012.0,2652.0,AGS,Bush ,Augusta,GA,USA,33.369955,-81.96449611
114,3,AGS,2926.0,3022.0,AGS,Bush ,Augusta,GA,USA,33.369955,-81.96449611
115,4,AGS,2758.0,2528.0,AGS,Bush ,Augusta,GA,USA,33.369955,-81.96449611
116,5,AGS,506.0,1250.0,AGS,Bush ,Augusta,GA,USA,33.369955,-81.96449611
117,6,AGS,1897.0,868.0,AGS,Bush ,Augusta,GA,USA,33.369955,-81.96449611
118,7,AGS,4608.0,5709.0,AGS,Bush ,Augusta,GA,USA,33.369955,-81.96449611
119,8,AGS,2406.0,1557.0,AGS,Bush ,Augusta,GA,USA,33.369955,-81.96449611
120,9,AGS,1800.0,1315.0,AGS,Bush ,Augusta,GA,USA,33.369955,-81.96449611
121,10,AGS,1857.0,1148.0,AGS,Bush ,Augusta,GA,USA,33.369955,-81.96449611
122,11,AGS,1799.0,1651.0,AGS,Bush ,Augusta,GA,USA,33.369955,-81.96449611
123,12,AGS,3439.0,3071.0,AGS,Bush ,Augusta,GA,USA,33.369955,-81.96449611
124,1,ALB,10718.0,10697.0,ALB,Albany Cty,Albany,NY,USA,42.74811944,-73.80297861
125,2,ALB,13775.0,14453.0,ALB,Albany Cty,Albany,NY,USA,42.74811944,-73.80297861
126,3,ALB,10040.0,11045.0,ALB,Albany Cty,Albany,NY,USA,42.74811944,-73.80297861
127,4,ALB,7159.0,6003.0,ALB,Albany Cty,Albany,NY,USA,42.74811944,-73.80297861
128,5,ALB,5423.0,4030.0,ALB,Albany Cty,Albany,NY,USA,42.74811944,-73.80297861
129,6,ALB,16279.0,18323.0,ALB,Albany Cty,Albany,NY,USA,42.74811944,-73.80297861
130,7,ALB,14562.0,14721.0,ALB,Albany Cty,Albany,NY,USA,42.74811944,-73.80297861
131,8,ALB,12325.0,11102.0,ALB,Albany Cty,Albany,NY,USA,42.74811944,-73.80297861
132,9,ALB,2969.0,2498.0,ALB,Albany Cty,Albany,NY,USA,42.74811944,-73.80297861
133,10,ALB,3842.0,114.0,ALB,Albany Cty,Albany,NY,USA,42.74811944,-73.80297861
134,11,ALB,3148.0,1483.0,ALB,Albany Cty,Albany,NY,USA,42.74811944,-73.80297861
135,12,ALB,18844.0,14221.0,ALB,Albany Cty,Albany,NY,USA,42.74811944,-73.80297861
136,1,ALO,338.0,11.0,ALO,Waterloo Municipal,Waterloo,IA,USA,42.55708139,-92.40034361
137,2,ALO,429.0,30.0,ALO,Waterloo Municipal,Waterloo,IA,USA,42.55708139,-92.40034361
138,3,ALO,-70.0,-34.0,ALO,Waterloo Municipal,Waterloo,IA,USA,42.55708139,-92.40034361
139,4,ALO,-94.0,168.0,ALO,Waterloo Municipal,Waterloo,IA,USA,42.55708139,-92.40034361
140,5,ALO,284.0,-87.0,ALO,Waterloo Municipal,Waterloo,IA,USA,42.55708139,-92.40034361
141,6,ALO,-32.0,288.0,ALO,Waterloo Municipal,Waterloo,IA,USA,42.55708139,-92.40034361
142,7,ALO,694.0,383.0,ALO,Waterloo Municipal,Waterloo,IA,USA,42.55708139,-92.40034361
143,8,ALO,88.0,366.0,ALO,Waterloo Municipal,Waterloo,IA,USA,42.55708139,-92.40034361
144,9,ALO,2.0,42.0,ALO,Waterloo Municipal,Waterloo,IA,USA,42.55708139,-92.40034361
145,10,ALO,-87.0,-139.0,ALO,Waterloo Municipal,Waterloo,IA,USA,42.55708139,-92.40034361
146,11,ALO,48.0,690.0,ALO,Waterloo Municipal,Waterloo,IA,USA,42.55708139,-92.40034361
147,12,ALO,105.0,458.0,ALO,Waterloo Municipal,Waterloo,IA,USA,42.55708139,-92.40034361
148,1,AMA,4408.0,3733.0,AMA,Amarillo International,Amarillo,TX,USA,35.2193725,-101.7059272
149,2,AMA,5616.0,6037.0,AMA,Amarillo International,Amarillo,TX,USA,35.2193725,-101.7059272
150,3,AMA,7958.0,7152.0,AMA,Amarillo International,Amarillo,TX,USA,35.2193725,-101.7059272
151,4,AMA,3665.0,4495.0,AMA,Amarillo International,Amarillo,TX,USA,35.2193725,-101.7059272
152,5,AMA,6203.0,5544.0,AMA,Amarillo International,Amarillo,TX,USA,35.2193725,-101.7059272
153,6,AMA,7514.0,8238.0,AMA,Amarillo International,Amarillo,TX,USA,35.2193725,-101.7059272
154,7,AMA,3493.0,3298.0,AMA,Amarillo International,Amarillo,TX,USA,35.2193725,-101.7059272
155,8,AMA,4689.0,4354.0,AMA,Amarillo International,Amarillo,TX,USA,35.2193725,-101.7059272
156,9,AMA,2698.0,-790.0,AMA,Amarillo International,Amarillo,TX,USA,35.2193725,-101.7059272
157,10,AMA,4292.0,2768.0,AMA,Amarillo International,Amarillo,TX,USA,35.2193725,-101.7059272
158,11,AMA,2380.0,1221.0,AMA,Amarillo International,Amarillo,TX,USA,35.2193725,-101.7059272
159,12,AMA,6807.0,9036.0,AMA,Amarillo International,Amarillo,TX,USA,35.2193725,-101.7059272
160,1,ANC,9515.0,12088.0,ANC,Ted Stevens Anchorage International,Anchorage,AK,USA,61.17432028,-149.9961856
161,2,ANC,4568.0,7407.0,ANC,Ted Stevens Anchorage International,Anchorage,AK,USA,61.17432028,-149.9961856
162,3,ANC,8043.0,7165.0,ANC,Ted Stevens Anchorage International,Anchorage,AK,USA,61.17432028,-149.9961856
163,4,ANC,7892.0,9549.0,ANC,Ted Stevens Anchorage International,Anchorage,AK,USA,61.17432028,-149.9961856
164,5,ANC,9093.0,14205.0,ANC,Ted Stevens Anchorage International,Anchorage,AK,USA,61.17432028,-149.9961856
165,6,ANC,12725.0,16821.0,ANC,Ted Stevens Anchorage International,Anchorage,AK,USA,61.17432028,-149.9961856
166,7,ANC,16193.0,21639.0,ANC,Ted Stevens Anchorage International,Anchorage,AK,USA,61.17432028,-149.9961856
167,8,ANC,19926.0,16121.0,ANC,Ted Stevens Anchorage International,Anchorage,AK,USA,61.17432028,-149.9961856
168,9,ANC,8059.0,4224.0,ANC,Ted Stevens Anchorage International,Anchorage,AK,USA,61.17432028,-149.9961856
169,10,ANC,7395.0,3121.0,ANC,Ted Stevens Anchorage International,Anchorage,AK,USA,61.17432028,-149.9961856
170,11,ANC,6919.0,3405.0,ANC,Ted Stevens Anchorage International,Anchorage,AK,USA,61.17432028,-149.9961856
171,12,ANC,22408.0,28593.0,ANC,Ted Stevens Anchorage International,Anchorage,AK,USA,61.17432028,-149.9961856
172,1,ASE,14668.0,9329.0,ASE,Aspen-Pitkin Co/Sardy ,Aspen,CO,USA,39.22316,-106.868845
173,2,ASE,12079.0,8855.0,ASE,Aspen-Pitkin Co/Sardy ,Aspen,CO,USA,39.22316,-106.868845
174,3,ASE,13011.0,8456.0,ASE,Aspen-Pitkin Co/Sardy ,Aspen,CO,USA,39.22316,-106.868845
175,4,ASE,2270.0,-499.0,ASE,Aspen-Pitkin Co/Sardy ,Aspen,CO,USA,39.22316,-106.868845
176,5,ASE,-136.0,-14.0,ASE,Aspen-Pitkin Co/Sardy ,Aspen,CO,USA,39.22316,-106.868845
177,6,ASE,2330.0,3397.0,ASE,Aspen-Pitkin Co/Sardy ,Aspen,CO,USA,39.22316,-106.868845
178,7,ASE,3402.0,3259.0,ASE,Aspen-Pitkin Co/Sardy ,Aspen,CO,USA,39.22316,-106.868845
179,8,ASE,3697.0,3182.0,ASE,Aspen-Pitkin Co/Sardy ,Aspen,CO,USA,39.22316,-106.868845
180,9,ASE,1287.0,951.0,ASE,Aspen-Pitkin Co/Sardy ,Aspen,CO,USA,39.22316,-106.868845
181,10,ASE,352.0,280.0,ASE,Aspen-Pitkin Co/Sardy ,Aspen,CO,USA,39.22316,-106.868845
182,11,ASE,48.0,-448.0,ASE,Aspen-Pitkin Co/Sardy ,Aspen,CO,USA,39.22316,-106.868845
183,12,ASE,8868.0,9200.0,ASE,Aspen-Pitkin Co/Sardy ,Aspen,CO,USA,39.22316,-106.868845
184,1,ATL,327669.0,208002.0,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444
185,2,ATL,450651.0,411033.0,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444
186,3,ATL,585928.0,532344.0,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444
187,4,ATL,341694.0,266485.0,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444
188,5,ATL,187734.0,86722.0,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444
189,6,ATL,405712.0,287492.0,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444
190,7,ATL,777681.0,686158.0,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444
191,8,ATL,446159.0,321622.0,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444
192,9,ATL,127350.0,48005.0,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444
193,10,ATL,250150.0,214150.0,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444
194,11,ATL,296198.0,318074.0,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444
195,12,ATL,509364.0,595742.0,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444
196,1,ATW,6503.0,5517.0,ATW,Outagamie County Regional,Appleton,WI,USA,44.25740806,-88.51947556
197,2,ATW,10228.0,7413.0,ATW,Outagamie County Regional,Appleton,WI,USA,44.25740806,-88.51947556
